# Wed 18 May 2022 10:25:34 AM EEST
Genbank;Id;RsUid;GbUid;AssemblyAccession;LastMajorReleaseAccession;ChainId;AssemblyName;Taxid;Organism;SpeciesTaxid;SpeciesNAme;AssemblyType;AssemblyStatus;Isolate;Sub_type;Sub_value;Coverage;ContigN50;ScaffoldN50;Title;Host;Strain;Isolation_source;Collection_date;Geo_loc_name
GCA_015997945.1;8803331;23841398;23837378;GCF_015997945.1;GCF_015997945.1;15997945;ASM1599794v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Scaffold;null;strain;STEN00086;78;41077;41077;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00086;not collected;2018;USA: Pittsburgh, Pennsylvania
GCA_015997895.1;8803321;23841838;23837358;GCF_015997895.1;GCF_015997895.1;15997895;ASM1599789v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Scaffold;null;strain;STEN00088;112;69203;76744;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00088;sputum;2018;USA: Pittsburgh, Pennsylvania
GCA_015997885.1;8803311;23841238;23837338;GCF_015997885.1;GCF_015997885.1;15997885;ASM1599788v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Scaffold;null;strain;STEN00089;102;106112;106112;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00089;sputum;2018;USA: Pittsburgh, Pennsylvania
GCA_015997905.1;8803301;23841058;23837328;GCF_015997905.1;GCF_015997905.1;15997905;ASM1599790v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Scaffold;null;strain;STEN00087;66;40879;52483;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00087;sputum;2018;USA: Pittsburgh, Pennsylvania
GCA_015997855.1;8803291;23840478;23837298;GCF_015997855.1;GCF_015997855.1;15997855;ASM1599785v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Scaffold;null;strain;STEN00090;67;45701;50355;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00090;sputum;2018;USA: Pittsburgh, Pennsylvania
GCA_015997845.1;8803281;23842098;23837288;GCF_015997845.1;GCF_015997845.1;15997845;ASM1599784v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Scaffold;null;strain;STEN00095;62;178459;178459;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00095;sputum;2018;USA: Pittsburgh, Pennsylvania
GCA_015997805.1;8803271;23840838;23837258;GCF_015997805.1;GCF_015997805.1;15997805;ASM1599780v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00092;107;45897;45897;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00092;wound;2018;USA: Pittsburgh, Pennsylvania
GCA_015997795.1;8803261;23841198;23837238;GCF_015997795.1;GCF_015997795.1;15997795;ASM1599779v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00097;71;256949;256949;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00097;sputum;2018;USA: Pittsburgh, Pennsylvania
GCA_015997785.1;8803251;23841458;23837218;GCF_015997785.1;GCF_015997785.1;15997785;ASM1599778v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Scaffold;null;strain;STEN00091;96;66589;66589;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00091;sputum;2018;USA: Pittsburgh, Pennsylvania
GCA_015997755.1;8803241;23840718;23837198;GCF_015997755.1;GCF_015997755.1;15997755;ASM1599775v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00096;82;401152;401152;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00096;sputum;2018;USA: Pittsburgh, Pennsylvania
GCA_015997745.1;8803231;23841338;23837178;GCF_015997745.1;GCF_015997745.1;15997745;ASM1599774v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Scaffold;null;strain;STEN00098;48;134198;134198;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00098;sputum;2018;USA: Pittsburgh, Pennsylvania
GCA_015997705.1;8803221;23841578;23837158;GCF_015997705.1;GCF_015997705.1;15997705;ASM1599770v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00136;152;39646;39646;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00136;sputum;2018;USA: Pittsburgh, Pennsylvania
GCA_015997715.1;8803211;23840798;23837138;GCF_015997715.1;GCF_015997715.1;15997715;ASM1599771v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00100;90;72131;72131;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00100;sputum;2018;USA: Pittsburgh, Pennsylvania
GCA_015997675.1;8803201;23840978;23837118;GCF_015997675.1;GCF_015997675.1;15997675;ASM1599767v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00137;64;37109;37109;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00137;blood;2018;USA: Pittsburgh, Pennsylvania
GCA_015997665.1;8803191;23840658;23837098;GCF_015997665.1;GCF_015997665.1;15997665;ASM1599766v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00099;88;105533;105533;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00099;bronch;2018;USA: Pittsburgh, Pennsylvania
GCA_015997625.1;8803181;23840498;23837078;GCF_015997625.1;GCF_015997625.1;15997625;ASM1599762v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00138;109;40685;40685;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00138;sputum;2018;USA: Pittsburgh, Pennsylvania
GCA_015997615.1;8803171;23841798;23837058;GCF_015997615.1;GCF_015997615.1;15997615;ASM1599761v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00139;78;338572;338572;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00139;sputum;2018;USA: Pittsburgh, Pennsylvania
GCA_015997605.1;8803161;23840598;23837048;GCF_015997605.1;GCF_015997605.1;15997605;ASM1599760v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00143;47;187836;187836;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00143;sputum;2018;USA: Pittsburgh, Pennsylvania
GCA_015997575.1;8803151;23840898;23837018;GCF_015997575.1;GCF_015997575.1;15997575;ASM1599757v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Scaffold;null;strain;STEN00140;24;178352;178352;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00140;sputum;2018;USA: Pittsburgh, Pennsylvania
GCA_015997565.1;8803141;23842258;23836998;GCF_015997565.1;GCF_015997565.1;15997565;ASM1599756v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00142;79;267250;267250;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00142;sputum;2018;USA: Pittsburgh, Pennsylvania
GCA_015997535.1;8803131;23851498;23836978;GCF_015997535.1;GCF_015997535.1;15997535;ASM1599753v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00141;73;171878;171878;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00141;urine;2018;USA: Pittsburgh, Pennsylvania
GCA_015997525.1;8803121;23840758;23836958;GCF_015997525.1;GCF_015997525.1;15997525;ASM1599752v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00144;86;349859;349859;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00144;sputum;2018;USA: Pittsburgh, Pennsylvania
GCA_015997495.1;8803111;23841098;23836938;GCF_015997495.1;GCF_015997495.1;15997495;ASM1599749v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00145;117;316758;316758;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00145;sputum;2018;USA: Pittsburgh, Pennsylvania
GCA_015997485.1;8803101;23841158;23836918;GCF_015997485.1;GCF_015997485.1;15997485;ASM1599748v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00146;116;275309;275309;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00146;sputum;2018;USA: Pittsburgh, Pennsylvania
GCA_015997455.1;8803091;23841998;23836898;GCF_015997455.1;GCF_015997455.1;15997455;ASM1599745v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00147;42;108533;108533;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00147;sputum;2018;USA: Pittsburgh, Pennsylvania
GCA_015997445.1;8803081;null;23836878;GCA_015997445.1;GCA_015997445.1;15997445;ASM1599744v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Scaffold;null;strain;STEN00148;33;309862;397386;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00148;sputum;2018;USA: Pittsburgh, Pennsylvania
GCA_015997415.1;8803071;23840438;23836858;GCF_015997415.1;GCF_015997415.1;15997415;ASM1599741v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Scaffold;null;strain;STEN00149;59;331567;331567;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00149;blood;2018;USA: Pittsburgh, Pennsylvania
GCA_015997395.1;8803061;23840398;23836838;GCF_015997395.1;GCF_015997395.1;15997395;ASM1599739v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Scaffold;null;strain;STEN00151;48;158150;158150;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00151;sputum;2018;USA: Pittsburgh, Pennsylvania
GCA_015997385.1;8803051;23842058;23836818;GCF_015997385.1;GCF_015997385.1;15997385;ASM1599738v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00152;118;752251;752251;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00152;bronch;2018;USA: Pittsburgh, Pennsylvania
GCA_015997355.1;8803041;23840178;23836798;GCF_015997355.1;GCF_015997355.1;15997355;ASM1599735v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00161;64;27731;27731;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00161;sputum;2018;USA: Pittsburgh, Pennsylvania
GCA_015997345.1;8803031;23840458;23836778;GCF_015997345.1;GCF_015997345.1;15997345;ASM1599734v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00158;117;255730;255730;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00158;bronch;2018;USA: Pittsburgh, Pennsylvania
GCA_015997305.1;8803021;23840238;23836758;GCF_015997305.1;GCF_015997305.1;15997305;ASM1599730v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Scaffold;null;strain;STEN00155;38;270332;385143;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00155;sputum;2018;USA: Pittsburgh, Pennsylvania
GCA_015997295.1;8803011;23840358;23836738;GCF_015997295.1;GCF_015997295.1;15997295;ASM1599729v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00160;95;143696;143696;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00160;sputum;2018;USA: Pittsburgh, Pennsylvania
GCA_015997285.1;8803001;23842018;23836718;GCF_015997285.1;GCF_015997285.1;15997285;ASM1599728v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00159;69;580857;580857;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00159;blood;2018;USA: Pittsburgh, Pennsylvania
GCA_015997245.1;8802991;23840558;23836698;GCF_015997245.1;GCF_015997245.1;15997245;ASM1599724v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00166;62;34195;34195;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00166;wound;2018;USA: Pittsburgh, Pennsylvania
GCA_015997225.1;8802981;23840318;23836688;GCF_015997225.1;GCF_015997225.1;15997225;ASM1599722v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00163;64;29376;29376;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00163;bronch;2018;USA: Pittsburgh, Pennsylvania
GCA_015997205.1;8802971;23841758;23836658;GCF_015997205.1;GCF_015997205.1;15997205;ASM1599720v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00168;91;58002;58002;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00168;sputum;2018;USA: Pittsburgh, Pennsylvania
GCA_015997195.1;8802961;23851258;23836638;GCF_015997195.1;GCF_015997195.1;15997195;ASM1599719v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00169;88;88612;88612;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00169;blood;2018;USA: Pittsburgh, Pennsylvania
GCA_015997185.1;8802951;23840258;23836618;GCF_015997185.1;GCF_015997185.1;15997185;ASM1599718v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00164;61;31781;31781;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00164;sputum;2018;USA: Pittsburgh, Pennsylvania
GCA_015997165.1;8802941;23840158;23836598;GCF_015997165.1;GCF_015997165.1;15997165;ASM1599716v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00167;101;60716;60716;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00167;wound;2018;USA: Pittsburgh, Pennsylvania
GCA_015997135.1;8802931;23839898;23836578;GCF_015997135.1;GCF_015997135.1;15997135;ASM1599713v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00171;93;55616;55616;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00171;sputum;2018;USA: Pittsburgh, Pennsylvania
GCA_015997125.1;8802921;23841038;23836558;GCF_015997125.1;GCF_015997125.1;15997125;ASM1599712v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00172;75;43267;43267;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00172;sputum;2018;USA: Pittsburgh, Pennsylvania
GCA_015997095.1;8802911;23840278;23836538;GCF_015997095.1;GCF_015997095.1;15997095;ASM1599709v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00170;96;48893;48893;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00170;sputum;2018;USA: Pittsburgh, Pennsylvania
GCA_015997075.1;8802901;23840198;23836518;GCF_015997075.1;GCF_015997075.1;15997075;ASM1599707v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00174;105;68793;68793;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00174;wound;2018;USA: Pittsburgh, Pennsylvania
GCA_015997065.1;8802891;23840418;23836498;GCF_015997065.1;GCF_015997065.1;15997065;ASM1599706v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00173;94;47415;47415;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00173;wound;2018;USA: Pittsburgh, Pennsylvania
GCA_015997045.1;8802881;23840678;23836478;GCF_015997045.1;GCF_015997045.1;15997045;ASM1599704v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00176;81;66972;66972;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00176;wound;2018;USA: Pittsburgh, Pennsylvania
GCA_015996995.1;8802871;23841018;23836458;GCF_015996995.1;GCF_015996995.1;15996995;ASM1599699v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00178;89;42431;42431;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00178;sputum;2018;USA: Pittsburgh, Pennsylvania
GCA_015997005.1;8802861;23841538;23836438;GCF_015997005.1;GCF_015997005.1;15997005;ASM1599700v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00175;91;66291;66291;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00175;sputum;2018;USA: Pittsburgh, Pennsylvania
GCA_015996985.1;8802851;23840058;23836418;GCF_015996985.1;GCF_015996985.1;15996985;ASM1599698v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00179;68;56277;56277;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00179;blood;2018;USA: Pittsburgh, Pennsylvania
GCA_015996965.1;8802841;23840618;23836398;GCF_015996965.1;GCF_015996965.1;15996965;ASM1599696v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00177;95;50121;50121;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00177;urine;2018;USA: Pittsburgh, Pennsylvania
GCA_015996945.1;8802831;23840538;23836378;GCF_015996945.1;GCF_015996945.1;15996945;ASM1599694v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00182;81;44337;44337;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00182;sputum;2018;USA: Pittsburgh, Pennsylvania
GCA_015996915.1;8802821;23840338;23836358;GCF_015996915.1;GCF_015996915.1;15996915;ASM1599691v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00180;75;47630;47630;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00180;sputum;2018;USA: Pittsburgh, Pennsylvania
GCA_015996895.1;8802811;23840078;23836338;GCF_015996895.1;GCF_015996895.1;15996895;ASM1599689v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00181;77;48762;48762;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00181;sputum;2018;USA: Pittsburgh, Pennsylvania
GCA_015996875.1;8802801;23840018;23836318;GCF_015996875.1;GCF_015996875.1;15996875;ASM1599687v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00184;56;38899;38899;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00184;sputum;2018;USA: Pittsburgh, Pennsylvania
GCA_015996865.1;8802791;23839958;23836298;GCF_015996865.1;GCF_015996865.1;15996865;ASM1599686v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00183;86;47660;47660;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00183;sputum;2018;USA: Pittsburgh, Pennsylvania
GCA_015996825.1;8802781;23840118;23836278;GCF_015996825.1;GCF_015996825.1;15996825;ASM1599682v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00185;60;58538;58538;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00185;sputum;2018;USA: Pittsburgh, Pennsylvania
GCA_015996805.1;8802771;23840218;23836258;GCF_015996805.1;GCF_015996805.1;15996805;ASM1599680v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00187;51;39671;39671;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00187;sputum;2018;USA: Pittsburgh, Pennsylvania
GCA_015996795.1;8802761;23841478;23836238;GCF_015996795.1;GCF_015996795.1;15996795;ASM1599679v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00186;47;37070;37070;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00186;sputum;2018;USA: Pittsburgh, Pennsylvania
GCA_015996785.1;8802751;23840098;23836218;GCF_015996785.1;GCF_015996785.1;15996785;ASM1599678v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00189;64;47297;47297;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00189;sputum;2018;USA: Pittsburgh, Pennsylvania
GCA_015996765.1;8802741;23841638;23836198;GCF_015996765.1;GCF_015996765.1;15996765;ASM1599676v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00188;60;63973;63973;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00188;sputum;2018;USA: Pittsburgh, Pennsylvania
GCA_015996735.1;8802731;23840378;23836178;GCF_015996735.1;GCF_015996735.1;15996735;ASM1599673v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00196;66;52779;52779;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00196;sputum;2018;USA: Pittsburgh, Pennsylvania
GCA_015996715.1;8802721;23840298;23836158;GCF_015996715.1;GCF_015996715.1;15996715;ASM1599671v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00190;97;61683;61683;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00190;sputum;2018;USA: Pittsburgh, Pennsylvania
GCA_015996705.1;8802711;23839518;23836138;GCF_015996705.1;GCF_015996705.1;15996705;ASM1599670v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00195;47;43799;43799;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00195;wound;2018;USA: Pittsburgh, Pennsylvania
GCA_015996685.1;8802701;23839838;23836118;GCF_015996685.1;GCF_015996685.1;15996685;ASM1599668v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00197;71;57421;57421;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00197;bronch;2018;USA: Pittsburgh, Pennsylvania
GCA_015996665.1;8802691;23839798;23836098;GCF_015996665.1;GCF_015996665.1;15996665;ASM1599666v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00199;46;48387;48387;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00199;sputum;2018;USA: Pittsburgh, Pennsylvania
GCA_015996635.1;8802681;23840038;23836078;GCF_015996635.1;GCF_015996635.1;15996635;ASM1599663v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00202;96;33979;33979;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00202;sputum;2018;USA: Pittsburgh, Pennsylvania
GCA_015996625.1;8802671;23839918;23836058;GCF_015996625.1;GCF_015996625.1;15996625;ASM1599662v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00198;59;44943;44943;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00198;wound;2018;USA: Pittsburgh, Pennsylvania
GCA_015996605.1;8802661;23839978;23836038;GCF_015996605.1;GCF_015996605.1;15996605;ASM1599660v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00200;82;65728;65728;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00200;sputum;2018;USA: Pittsburgh, Pennsylvania
GCA_015996535.1;8802651;23839758;23836018;GCF_015996535.1;GCF_015996535.1;15996535;ASM1599653v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00203;81;31355;31355;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00203;sputum;2018;USA: Pittsburgh, Pennsylvania
GCA_015996525.1;8802641;23839698;23835978;GCF_015996525.1;GCF_015996525.1;15996525;ASM1599652v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;STEN00204;56;24840;24840;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;STEN00204;sputum;2018;USA: Pittsburgh, Pennsylvania
GCA_015956405.1;8781311;24623988;23790528;GCF_015956405.1;GCF_015956405.1;15956405;ASM1595640v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Scaffold;null;strain;46-3;>100000;311246;341506;Microbe sample from Stenotrophomonas maltophilia;;46-3;soil;2012;China: Heihe River basin, Eboling Mountain
GCA_014581875.1;8077501;22153068;22120778;GCF_014581875.1;GCF_014581875.1;14581875;ASM1458187v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Scaffold;null;strain;JZ104;10;263060;263060;JZ104;swine;JZ104;anal swab;2017-07-11;China:Zhanjiang
GCA_014581855.1;8077491;22153418;22120758;GCF_014581855.1;GCF_014581855.1;14581855;ASM1458185v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Scaffold;null;strain;GQ250;10;460410;506704;GQ250;duck;GQ250;anal swab;2017-11-23;China:Fangchenggang
GCA_014581865.1;8077481;22152888;22120738;GCF_014581865.1;GCF_014581865.1;14581865;ASM1458186v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;FS38;10;810981;810981;FS38;duck;FS38;manure;2017-08-13;China:Foshan
GCA_014581825.1;8077471;22153338;22120718;GCF_014581825.1;GCF_014581825.1;14581825;ASM1458182v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Scaffold;null;strain;HZ34;10;373162;373162;HZ34;horse;HZ34;nose swab;2017-06-30;China:Huizhou
